Mapreduce
job	MByte	righe	time	cluster?
1	5	8824	15	n
1	26	56463	17	n
1	70	141210	23	n
1	184	361968	31	n
2	5	8824	15	n
2	26	56463	19	n
2	70	141210	24	n
2	184	361968	42	n
3v1	5	8824	14+17	n
3v1	26	56463	15+20	n
3v1	70	141210	16+27	n
3v1	184	361968	24+44	n
3v2	5	8824	16	n
3v2	26	56463	17	n
3v2	70	141210	x	n
3v2	184	361968	x	n

1	5	8824		y
1	26	56463		y
1	70	141210		y
1	184	361968		y
2	5	8824		y
2	26	56463		y
2	70	141210		y
3v1	184	361968		y
3v1	5	8824		y
3v1	26	56463		y
3v1	70	141210		y
3v1	184	361968		y
3v2	184	361968		y
3v2	5	8824		y
3v2	26	56463		y
3v2	70	141210		y
3v2	184	361968		y
